"method","scalar","status","rank_rhat","folded_rhat","bulk_ess","tail_ess"
"graphMoDE-C","unit_log_mean_31_t168","passed",1.00128946482951,1.00227982211794,680.312763016482,606.1229064828
"graphMoDE-C","unit_log_mean_61_t168","failed",1.01969310699249,1.00461873288435,182.41575699508,443.625651163494
"graphMoDE-C","unit_log_mean_91_t168","failed",1.01655339107456,1.0364922763707,161.173783616189,170.026898514025
"graphMoDE-C","unit_log_mean_121_t168","failed",1.22542395572101,1.1017977571108,13.4991873229352,32.1368634484087
"EucMoDE","log_likelihood","passed",1.00737770389798,1.00396952147185,483.868204056986,529.713904264299
"EucMoDE","Kocc","uninformative-constant-discrete",NA,NA,NA,NA
"EucMoDE","proportion_1","uninformative-constant-discrete",NA,NA,NA,NA
"EucMoDE","proportion_2","uninformative-constant-discrete",NA,NA,NA,NA
"EucMoDE","proportion_3","uninformative-constant-discrete",NA,NA,NA,NA
"EucMoDE","proportion_4","uninformative-constant-discrete",NA,NA,NA,NA
"EucMoDE","proportion_5","uninformative-constant-discrete",NA,NA,NA,NA
"EucMoDE","proportion_6","uninformative-constant-discrete",NA,NA,NA,NA
"EucMoDE","proportion_7","uninformative-constant-discrete",NA,NA,NA,NA
"EucMoDE","proportion_8","uninformative-constant-discrete",NA,NA,NA,NA
"EucMoDE","proportion_9","uninformative-constant-discrete",NA,NA,NA,NA
"EucMoDE","proportion_10","uninformative-constant-discrete",NA,NA,NA,NA
"EucMoDE","guidance_1","passed",1.00324571672514,0.999432261221967,475.618060676375,624.00687903237
"EucMoDE","guidance_2","passed",1.00059060503373,0.999162681999708,494.226811369193,690.77271924874
"EucMoDE","guidance_3","passed",1.00143084948034,0.998925384046801,538.229606592043,820.812533287576
"EucMoDE","guidance_4","passed",1.003043065676,1.00073806130856,481.181648772758,792.199659775302
"EucMoDE","guidance_5","passed",1.00279969566199,0.999801110431803,465.842328837505,789.175373625862
"EucMoDE","guidance_6","passed",1.00452735940993,0.998753499775084,403.434018880108,833.323583135477
"EucMoDE","guidance_7","failed",1.00305751089844,1.0017427971079,382.965812062926,888.448875510904
"EucMoDE","guidance_8","failed",1.00284419974138,1.00056367156258,329.412505141723,571.499664150907
"EucMoDE","guidance_9","passed",1.0017615680127,1.00009399108572,487.597135441058,577.051499247193
"EucMoDE","guidance_10","passed",1.00547447535742,1.00465328862072,495.800094332794,656.771627638614
"EucMoDE","unit_log_mean_1_t1","passed",0.998812106210918,0.999067458395573,661.737436927307,714.725260730159
"EucMoDE","unit_log_mean_31_t1","passed",1.00034347434707,1.00007242795725,464.838188721229,739.863700623144
"EucMoDE","unit_log_mean_61_t1","passed",1.00644401505772,1.0002112570932,526.393701022262,707.844689957426
"EucMoDE","unit_log_mean_91_t1","passed",0.999687173331706,1.00686324271358,623.423747441649,774.657372424544
"EucMoDE","unit_log_mean_121_t1","failed",1.01749179561179,1.00308531972285,402.736778651528,776.072254273662
"EucMoDE","unit_log_mean_1_t84","failed",1.00521455609819,1.01159873650328,451.948851906933,510.05980078701
"EucMoDE","unit_log_mean_31_t84","failed",1.00658386419047,1.0000917381697,393.714184222004,566.246731826656
"EucMoDE","unit_log_mean_61_t84","failed",1.0124277075405,1.00957526920612,420.852694474667,574.79709656136
"EucMoDE","unit_log_mean_91_t84","passed",1.00529799688181,1.00898068341067,521.671947202565,543.227851232069
"EucMoDE","unit_log_mean_121_t84","passed",1.00625466336993,1.00291473584429,488.337624249104,488.726919932402
"EucMoDE","unit_log_mean_1_t168","passed",1.00997062718606,0.997848228533356,563.203323083926,668.439103072603
"EucMoDE","unit_log_mean_31_t168","passed",0.997685308024031,0.999947398509674,593.948008585236,592.459225356345
"EucMoDE","unit_log_mean_61_t168","passed",1.00488466564834,0.998245183729381,527.264986177699,632.985885145202
"EucMoDE","unit_log_mean_91_t168","passed",1.00151835466386,1.00252669422316,487.130229052164,670.077772899693
"EucMoDE","unit_log_mean_121_t168","passed",1.00878784446289,1.00054892309086,512.877392824971,653.253473636005
"MoDE","log_likelihood","failed",1.78053070896374,1.64961722478693,6.0642834112411,12.6342137901171
"MoDE","Kocc","failed",2.56848205861791,1.95504305374522,4.87084234784856,NA
"MoDE","proportion_1","uninformative-constant-discrete",NA,NA,NA,NA
"MoDE","proportion_2","uninformative-constant-discrete",NA,NA,NA,NA
"MoDE","proportion_3","uninformative-constant-discrete",NA,NA,NA,NA
"MoDE","proportion_4","uninformative-constant-discrete",NA,NA,NA,NA
"MoDE","proportion_5","uninformative-constant-discrete",NA,NA,NA,NA
"MoDE","proportion_6","failed",2.22862844873402,2.22862844873402,5.20165255780644,NA
"MoDE","proportion_7","failed",2.11131393064823,3.30012874947574,5.31445685228422,NA
"MoDE","proportion_8","failed",2.19224500773904,2.19224500773904,5.26308183576032,NA
"MoDE","proportion_9","failed",2.54280220366242,2.54280220366242,4.86810141843372,NA
"MoDE","proportion_10","failed",2.18080917220124,2.18080917220124,5.27705124096971,NA
"MoDE","unit_log_mean_1_t1","failed",1.54016912828611,1.54406979543388,7.32429597055859,148.003192938977
"MoDE","unit_log_mean_31_t1","passed",1.00234002054843,1.00110480240739,508.833995588848,754.66696153657
"MoDE","unit_log_mean_61_t1","failed",1.28408374987922,1.31682225248572,11.0855023815801,23.2035168072894
"MoDE","unit_log_mean_91_t1","failed",1.27814404586564,1.31875640735851,11.1225981482536,21.5489999849306
"MoDE","unit_log_mean_121_t1","failed",1.61333651483028,1.582730189973,6.8116089162292,141.502188396466
"MoDE","unit_log_mean_1_t84","failed",1.61415551222332,1.58612617828998,6.83528471579713,118.255193811363
"MoDE","unit_log_mean_31_t84","failed",1.01654854664032,1.00308151411858,470.631873214955,706.295472540218
"MoDE","unit_log_mean_61_t84","failed",1.28759764030284,1.26616429520537,10.9486085048429,22.0326355299615
"MoDE","unit_log_mean_91_t84","failed",1.28914763024822,1.27546837735718,10.8140452287653,23.8595149718736
"MoDE","unit_log_mean_121_t84","failed",1.54716673507852,1.55612747070903,7.22874161198389,103.122526203587
"MoDE","unit_log_mean_1_t168","failed",1.53373121588718,1.08654918676254,7.29642197160972,407.173687613367
"MoDE","unit_log_mean_31_t168","failed",1.01289451326017,1.00118440615496,431.100763998196,593.161852577578
"MoDE","unit_log_mean_61_t168","failed",1.09770943316257,1.01163752954875,27.2416799176519,250.90726959362
"MoDE","unit_log_mean_91_t168","failed",1.18631438260369,1.08622522681127,15.5314031486521,33.8276434461748
"MoDE","unit_log_mean_121_t168","failed",1.40118821988301,1.03388419521275,8.6924932535197,415.462866946045
"PottsMoDE","log_likelihood","failed",1.53919841787485,1.5353376234125,7.42015649529881,37.8560815210423
"PottsMoDE","Kocc","failed-different-chain-constants",NA,NA,NA,NA
"PottsMoDE","proportion_1","uninformative-constant-discrete",NA,NA,NA,NA
"PottsMoDE","proportion_2","uninformative-constant-discrete",NA,NA,NA,NA
"PottsMoDE","proportion_3","uninformative-constant-discrete",NA,NA,NA,NA
