"edge_id","from_location_id","to_location_id","from_road_vertex_id","to_road_vertex_id","road_distance_km","weight"
42,18,20,"331010424","701841258",1.71833769951678,0.643493022285227
43,19,20,"3643528852","701841258",2.758939535738,0.492720473270956
44,4,21,"9643487223","11205369560",4.84602365175973,0.144221148438805
45,3,23,"9534648061","337491284",4.3186135449901,0.330234668094967
46,8,23,"9449967660","337491284",4.35587606277876,0.163546366751002
47,21,23,"11205369560","337491284",4.11113803495418,0.348288761346987
48,21,24,"11205369560","7228973645",3.7292043648433,0.384144201173529
49,22,24,"2048161749","7228973645",3.12198374696609,0.448900862161796
50,23,24,"337491284","7228973645",4.80421655344679,0.291552699600608
51,22,25,"2048161749","10614006595",3.74733771244788,0.191180625992453
52,5,26,"5190540103","1532469783",3.64765894194882,0.392265419237806
53,7,26,"605967055","1532469783",1.97094731737263,0.603112360982371
54,12,26,"4724379704","1532469783",4.09948821050894,0.1746656408248
55,25,26,"10614006595","1532469783",4.12464139611293,0.173542132062084
56,7,27,"605967055","287963839",5.0980765157035,0.135190249732541
57,8,27,"9449967660","287963839",3.5741160458072,0.399736798055995
58,25,27,"10614006595","287963839",3.88876571658379,0.368736434026562
59,26,27,"1532469783","287963839",4.21225175558356,0.169684993009236
60,22,28,"2048161749","9015750644",3.81811081453643,0.187740678303675
61,25,28,"10614006595","9015750644",2.76238177702744,0.492285535949454
62,11,29,"4585803094","1583217872",3.7747038011883,0.189843077748728
63,16,30,"6008389398","2515879233",3.80323098597379,0.188458740452732
64,29,31,"1583217872","322444657",3.56032211637737,0.200576960160295
65,30,31,"2515879233","322444657",2.70858185924458,0.499127421770485
66,11,32,"4585803094","4724057647",3.36529453085087,0.421736216543551
67,29,32,"1583217872","4724057647",2.90763792136824,0.474277719667561
68,30,32,"2515879233","4724057647",2.98548764385821,0.464899151587046
69,14,33,"1836427238","13047762338",3.68565295087436,0.194230200517882
70,15,33,"1836427269","13047762338",3.63555092206868,0.196742912666348
71,33,34,"13047762338","1634854102",2.3126704347077,0.552489011043951
72,10,35,"2738796175","289272254",6.16305796450129,0.102869297660258
73,16,35,"6008389398","289272254",3.42231632085906,0.415611507536154
74,30,35,"2515879233","289272254",1.95836653938446,0.605062130595907
75,32,35,"4724057647","289272254",4.04254039652924,0.177236258311167
76,33,35,"13047762338","289272254",2.89249057922666,0.476124391799522
77,33,36,"13047762338","9724956421",1.85827365012679,0.620800791746533
78,34,36,"1634854102","9724956421",1.75420237876683,0.637599284303888
79,35,36,"289272254","9724956421",2.89371337036729,0.475975050094704
80,33,37,"13047762338","4049936341",2.37657436040447,0.543504954270514
81,34,37,"1634854102","4049936341",2.42859768072027,0.536299139338098
82,36,37,"9724956421","4049936341",2.80797506492828,0.486560779896202
83,18,38,"331010424","6584058581",4.48142082419434,0.158362656509434
84,37,38,"4049936341","6584058581",3.0922866805538,0.226167018672864
85,34,39,"1634854102","6780238191",4.42698214076257,0.160589928185375
86,37,39,"4049936341","6780238191",3.13841241513938,0.22350640412195
87,38,39,"6584058581","6780238191",1.48395512035169,0.683374247509089
88,34,40,"1634854102","8066838103",3.53159867565067,0.40412097240122
89,37,40,"4049936341","8066838103",2.24302895002749,0.562448880775375
90,38,40,"6584058581","8066838103",3.17279813267315,0.443086717271655
91,39,40,"6780238191","8066838103",2.7089670217851,0.499078103194793
92,22,42,"2048161749","2891549445",3.30691339432597,0.428100454477854
93,41,42,"10931643405","2891549445",4.44190683309697,0.159976209966422
94,41,43,"10931643405","6489737406",1.00608818866249,0.772506702517416
95,42,43,"2891549445","6489737406",4.44136421185743,0.159998481951769
96,21,44,"11205369560","9507058568",5.16029550727187,0.133049414431509
97,22,44,"2048161749","9507058568",3.03481482178268,0.459052914431521
98,24,44,"7228973645","9507058568",2.98943695984234,0.464428350832937
99,42,44,"2891549445","9507058568",4.6990683284841,0.149762342245994
