station,month,metadata_matched,records,samples_sum,total_flow_count,total_flow_mean,total_flow_weighted_by_samples,average_speed_count,average_speed_mean,average_speed_weighted_by_samples
1108762,09,yes,720,231027,720,2547.8,2507.775948265787,720,64.30277777777769,64.3456985547144
1108762,10,yes,744,251093,744,2604.7634408602153,2614.4065425957715,744,63.93077956989254,63.89734401197965
1108762,11,yes,720,257861,720,2418.8902777777776,2415.7723463416337,720,63.942638888888865,63.951030594002205
1108762,12,yes,744,266028,744,2377.4032258064517,2372.787777978258,744,63.846908602150535,63.86780752402002
1108763,01,yes,744,177188,744,149.5,149.15033749463845,0,,
1108763,02,yes,696,166074,695,156.25755395683453,156.2296566590797,0,,
1108763,03,yes,743,177694,743,130.92462987886944,131.00782243632312,0,,
1108763,04,yes,720,170606,717,106.81171548117155,107.14243344313799,0,,
1108763,05,yes,744,169518,744,128.80779569892474,128.53551835203342,0,,
1108763,06,yes,720,169440,711,140.1350210970464,140.21440037771484,0,,
1108763,07,yes,744,170016,694,137.59654178674353,137.57821450818972,0,,
1108763,08,yes,744,176440,741,139.26315789473685,139.40535026071186,0,,
1108763,09,yes,720,154018,625,135.8656,136.48624890972525,0,,
1108763,10,yes,744,167396,695,142.0158273381295,142.76698898408813,0,,
1108763,11,yes,720,171926,720,135.63611111111112,135.45170596652048,0,,
1108763,12,yes,744,177352,744,130.11424731182797,129.92277504623573,0,,
1108764,01,yes,744,354256,744,3556.6975806451615,3548.7573562621383,744,59.80134408602153,59.88429920735289
1108764,02,yes,696,332367,696,3596.0933908045977,3592.966218066174,696,60.694971264367844,60.69980172520138
1108764,03,yes,743,355326,743,2793.2691790040376,2794.431817542201,743,63.79582772543743,63.79771505603307
1108764,04,yes,720,341196,720,1972.1416666666667,1976.7929430591214,720,66.2111111111112,66.20082474589387
1108764,05,yes,744,338529,744,2403.016129032258,2392.5255679720203,744,66.4450268817204,66.48924168978134
1108764,06,yes,720,338867,720,2929.588888888889,2959.0801199290577,720,65.50555555555559,65.46020444599209
1108764,07,yes,744,338290,744,3025.7956989247314,3032.831088710869,744,65.34852150537635,65.36455082917027
1108764,08,yes,744,353472,744,3086.5201612903224,3090.680019916712,744,64.51169354838713,64.48693361850444
1108764,09,yes,720,313160,720,3169.222222222222,3105.8843019542724,720,64.32000000000001,64.4195721037169
1108764,10,yes,744,336436,744,3258.8830645161293,3285.1335023600327,744,64.3662634408602,64.35969931874116
1108764,11,yes,720,344198,720,2982.225,2977.7585517638104,720,64.01166666666668,64.02614454470975
1108764,12,yes,744,354874,744,2951.8669354838707,2944.683307314709,744,64.64475806451617,64.67091953763868
1108765,01,yes,744,265751,744,425.4247311827957,422.97308006366865,0,,
1108765,02,yes,696,249308,696,429.9942528735632,430.31625138383043,0,,
1108765,03,yes,743,266504,743,314.47375504710635,314.6265684567586,0,,
1108765,04,yes,720,255900,717,211.952580195258,212.5397655334115,0,,
1108765,05,yes,744,253901,744,251.09139784946237,250.3034253508257,0,,
1108765,06,yes,720,254149,711,311.63572433192684,311.77230679640684,0,,
1108765,07,yes,744,253722,693,302.5108225108225,305.38207252744564,0,,
1108765,08,yes,744,265116,741,313.0769230769231,313.80417628509787,0,,
1108765,09,yes,720,242073,719,280.105702364395,298.11201166590246,0,,
1108765,10,yes,744,255928,696,335.2485632183908,337.70262653865393,0,,
1108765,11,yes,720,258159,720,335.02222222222224,334.8119182364357,0,,
1108765,12,yes,744,266156,744,322.36021505376345,321.5438840379326,0,,
1108766,01,yes,744,177152,744,189.36827956989248,188.75312725794797,0,,
1108766,02,yes,696,166060,695,194.2,194.11148982295555,0,,
1108766,03,yes,743,177676,743,149.12113055181695,149.2416533465409,0,,
1108766,04,yes,720,170590,717,106.29567642956765,106.62333079312972,0,,
1108766,05,yes,744,162726,674,137.52818991097922,137.56407990779869,0,,
1108766,06,yes,720,169394,711,165.78340365682138,165.88417535449898,0,,
1108766,07,yes,744,169980,694,165.01296829971182,165.05061389041597,0,,
1108766,08,yes,744,176346,741,167.87179487179486,167.9991380581357,0,,
1108766,09,yes,720,154034,625,167.216,167.79003093190892,0,,
1108766,10,yes,744,167380,695,172.9928057553957,173.87365650630431,0,,
1108766,11,yes,720,171816,720,160.01111111111112,159.8160473995437,0,,
1108766,12,yes,744,177214,744,154.66666666666666,154.3685939034162,0,,
1108767,01,yes,744,354179,744,3944.5416666666665,3930.9937912750333,744,63.14623655913983,63.179139361735174
1108767,02,yes,696,332400,696,4026.912356321839,4024.2597202166066,696,64.05689655172415,64.05012966305652
1108767,03,yes,743,353366,743,3139.0605652759086,3119.4745646157244,743,64.37940780619108,64.41106444875852
1108767,04,yes,720,340892,720,2309.358333333333,2314.207986693733,720,64.92236111111107,64.9142719688347
1108767,05,yes,744,327467,744,2849.733870967742,2840.6259226120496,744,64.87889784946246,64.98094006418967
1108767,06,yes,720,338491,720,3356.8541666666665,3388.2448750483763,720,64.21083333333324,64.1627632640159
1108767,07,yes,744,348478,744,3411.380376344086,3420.778206945632,744,64.35672043010754,64.33466933350174
1108767,08,yes,744,353269,744,3508.7916666666665,3513.1129762305777,744,64.54126344086019,64.53033156036899
1108767,09,yes,720,312642,720,3514.1805555555557,3488.1356951401285,720,64.15388888888886,64.40627906679205
1108767,10,yes,744,316137,744,3583.6639784946237,3655.573729111113,744,63.993682795698916,64.24764295226437
1108767,11,yes,720,332328,720,3371.1111111111113,3362.6615933655908,720,64.4908333333334,64.59468356563394
1108767,12,yes,744,354709,744,3290.7903225806454,3284.6511083733426,744,64.30040322580648,64.32769904344126
1108768,01,yes,744,177138,744,353.0067204301075,352.0870846458693,0,,
1108768,02,yes,696,166236,696,368.19827586206895,368.00590726437116,0,,
1108768,03,yes,743,176732,740,240.10135135135135,240.1718647443587,0,,
1108768,04,yes,720,170510,717,135.95676429567644,136.34836666471173,0,,
1108768,05,yes,744,163798,706,189.07790368271955,188.83253391291314,0,,
1108768,06,yes,720,169300,711,280.1744022503516,280.11487300649736,0,,
1108768,07,yes,744,174280,742,275.2021563342318,275.84104888684874,0,,
1108768,08,yes,744,176690,741,266.87719298245617,267.49106344445073,0,,
1108768,09,yes,720,163452,719,305.0125173852573,296.2559956439811,0,,
1108768,10,yes,744,161702,688,317.0203488372093,317.16201117318434,0,,
1108768,11,yes,720,166216,683,299.1376281112738,299.08060206407964,0,,
1108768,12,yes,744,177410,744,311.7069892473118,310.96271912519023,0,,
1108769,01,yes,744,442915,744,3913.8884408602153,3902.2456114604383,744,67.06169354838711,67.10033347256244
1108769,02,yes,696,415685,696,4015.3491379310344,4014.1725850102844,696,67.39353448275853,67.39015889435511
1108769,03,yes,743,444101,743,3051.662180349933,3054.0835530656313,743,67.70067294751013,67.69702950454966
1108769,04,yes,720,426425,720,2174.5583333333334,2179.0885501553616,720,69.00791666666666,68.99642281761156
1108769,05,yes,744,423139,744,2744.293010752688,2733.0175592417622,744,69.02405913978495,69.06074292372007
1108769,06,yes,720,423516,720,3280.7722222222224,3312.667984208389,720,68.07624999999999,68.02448360864759
1108769,07,yes,744,435774,744,3326.516129032258,3336.8637573604665,744,68.16639784946238,68.14771578845917
1108769,08,yes,744,441883,744,3417.1639784946237,3420.752789765617,744,68.38333333333335,68.36948106172906
